audio_path,reference,wer,w2v_hyp,w2v_score
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the whet frome the chafe in what they heer and what they read,6357.150494098663
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of peeple in this contry now how to sift the whet frome the chaf in what they heer and what they read,6357.123186588287
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sifted the whet frome the chaf in what they heer and what they read,6357.076433300972
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6357.058272600174
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma garrity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6357.025745630264
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the wet frome the chaf in what they heer and what they redd,6356.953192234039
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor itty of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6356.910132408142
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magara ty of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.88200378418
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magara ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.79783052206
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the whet frome the chaff in what they heer and what they redd,6356.7932472229
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming maar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6356.779583930969
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor ity of people in this country now how to sift the whet frome the chaf in what they heer and what they read,6356.734084606171
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma gar ity of people in this contry now how to sift the wet frome the chaf in what they heer and what they read,6356.7311198711395
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,8,the over whelming majority of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.701663970947
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming ma garrity of people in this contry now how to sift the wet frome the chaf in what they heer and what they read,6356.69859290123
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma gar itty of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.688060045242
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming madar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.664211273193
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in whate they heer and what they read,6356.654794216156
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming magor ity of people in this contry now haow to sift the whet frome the chaf in what they heer and what they redd,6356.584404468536
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor itty of people in this contry now how to sift the wet frome the chaf in what they heer and what they read,6356.582979679108
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming ma gar ity of people in this contry now how to sift the whet frome the chaff in what they heer and what they read,6356.571174860001
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming ma garrity of people in this contry now how to sift the whet frome the chaff in what they heer and what they read,6356.538647890091
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the wheet frome the chaf in what they heer and what they redd,6356.52051782608
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor ity of people in this contry now how to sift the wet frome the chaff in what they heer and what they read,6356.466094493866
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the wheat frome the chaf in what they heer and what they redd,6356.463600158691
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming maar ity of people in this contry now how to sift the wet frome the chaf in what they heer and what they read,6356.452431201935
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and whate they redd,6356.438908100128
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor itty of people in this contry now how to sift the whet frome the chaff in what they heer and what they read,6356.423034667969
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming maar itty of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.409371376038
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar ity of people in this contry now haow to sift the whet frome the chaf in what they heer and what they read,6356.362332105637
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma garrity of people in this contry now haow to sift the whet frome the chaf in what they heer and what they read,6356.329805135727
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma gar ity of people in this contry now how to sift the wheet frome the chaf in what they heer and what they read,6356.2984454631805
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming maar ity of people in this contry now how to sift the whet frome the chaff in what they heer and what they read,6356.292486190796
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in theis contry now how to sift the whet frome the chaf in what they heer and what they read,6356.276472091675
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming ma garrity of people in this contry now how to sift the wheet frome the chaf in what they heer and what they read,6356.265918493271
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the whet frome the chafe in what they heer and what they redd,6356.258204460144
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now haow to sift the wet frome the chaf in what they heer and what they read,6356.257251739502
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming ma gar ity of people in this contry now how to sift the wheat frome the chaf in what they heer and what they read,6356.241527795792
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming magor ity of peeple in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6356.230896949768
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar ity of people in this contry now how to sift the whet frome the chaf in what they heer and whate they read,6356.216835737228
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor itty of people in this contry now haow to sift the whet frome the chaf in what they heer and what they read,6356.214191913605
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming ma garrity of people in this contry now how to sift the wheat frome the chaf in what they heer and what they read,6356.209000825882
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the weet frome the chaf in what they heer and what they read,6356.193365097046
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma garrity of people in this contry now how to sift the whet frome the chaf in what they heer and whate they read,6356.184308767319
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming magor ity of people in this contry now how to sifted the whet frome the chaf in what they heer and what they redd,6356.184143662453
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,they over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.1555762290955
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor itty of people in this contry now how to sift the wheet frome the chaf in what they heer and what they read,6356.150305271149
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the wet frome the chaf in what they heer and whate they read,6356.111755371094
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they red,6356.103950977325
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now haow to sift the whet frome the chaff in what they heer and what they read,6356.097306728363
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor itty of people in this contry now how to sift the wheat frome the chaf in what they heer and what they read,6356.09338760376
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming maar ity of people in this contry now haow to sift the whet frome the chaf in what they heer and what they read,6356.083643436432
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor itty of people in this contry now how to sift the whet frome the chaf in what they heer and whate they read,6356.0686955451965
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma gar ity of people in this contry now how to sift the whet frome the chafe in what they heer and what they read,6356.036132097244
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming magor ity of people in this contry now how to sift the wheet frome the chaff in what they heer and what they read,6356.033420085907
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming maar ity of people in this contry now how to sift the wheet frome the chaf in what they heer and what they read,6356.019756793976
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar ity of peeple in this contry now how to sift the whet frome the chaf in what they heer and what they read,6356.008824586868
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming ma garrity of people in this contry now how to sift the whet frome the chafe in what they heer and what they read,6356.003605127335
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magara ty of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6355.98971414566
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,8,the over whelming magor ity of people in this contry now how to sift the wheat frome the chaff in what they heer and what they read,6355.976502418518
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma garrity of peeple in this contry now how to sift the whet frome the chaf in what they heer and what they read,6355.976297616959
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming maar ity of people in this contry now how to sift the wheat frome the chaf in what they heer and what they read,6355.962839126587
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar ity of people in this contry now how to sifted the whet frome the chaf in what they heer and what they read,6355.962071299553
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the whet frome the chaff in what they heer and whate they read,6355.951810359955
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming maar ity of people in this contry now how to sift the whet frome the chaf in what they heer and whate they read,6355.938147068024
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the wet frome the chafe in what they heer and what they read,6355.93105173111
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma garrity of people in this contry now how to sifted the whet frome the chaf in what they heer and what they read,6355.929544329643
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magara ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6355.905540883541
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of peeple in this contry now how to sift the wet frome the chaf in what they heer and what they read,6355.903744220734
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor itty of people in this contry now how to sift the whet frome the chafe in what they heer and what they read,6355.887991905212
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor itty of peeple in this contry now how to sift the whet frome the chaf in what they heer and what they read,6355.860684394836
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to sifted the wet frome the chaf in what they heer and what they read,6355.856990933418
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this country now how to sift the whet frome the chaf in what they heer and what they redd,6355.841794967651
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar ity of people in this contry now how to sift the wet frome the chaf in what they heer and what they redd,6355.83883023262
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now haow to sift the wheet frome the chaf in what they heer and what they read,6355.824577331543
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor itty of people in this contry now how to sifted the whet frome the chaf in what they heer and what they read,6355.813931107521
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,9,the over whelming majority of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6355.809374332428
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming ma garrity of people in this contry now how to sift the wet frome the chaf in what they heer and what they redd,6355.806303262711
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming ma gar itty of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6355.795770406723
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming magor ity of people in this contry now how to swift the whet frome the chaf in what they heer and what they read,6355.784601211548
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming madar ity of people in this contry now how to sift the whet frome the chaf in what they heer and what they redd,6355.771921634674
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now haow to sift the wheat frome the chaf in what they heer and what they read,6355.767659664154
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in whate they heer and what they redd,6355.762504577637
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming maar ity of people in this contry now how to sift the whet frome the chafe in what they heer and what they read,6355.75744342804
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of peeple in this contry now how to sift the whet frome the chaff in what they heer and what they read,6355.743799209595
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,12,the over whelming magor ity of people in this contry now haow to sift the whet frome the chaf in what they heer and whate they read,6355.742967605591
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,10,the over whelming magor ity of people in this contry now how to sift the whet frome the chaf in what they heere and what they read,6355.740683555603
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,11,the over whelming maar ity of peeple in this contry now how to sift the whet frome the chaf in what they heer and what they read,6355.730135917664
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,7,as is shone by the report of the comico nears to inquirer into the stat of the municipal corporations in at 1035,5433.13548374176
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,8,as is shone by the report of the comico nears to inquirer into the stat ove the municipal corporations in at 1035,5432.846678733826
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,8,as is shone by the report of the comico nears to inquirer into the stat of the municipal corporations in at 1030 fie,5432.838341712952
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,7,as is shone by the report of the comico nares to inquirer into the stat of the municipal corporations in at 1035,5432.605169296265
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,9,as is shone by the report of the comico nears to inquirer into the stat ove the municipal corporations in at 1030 fie,5432.549536705017
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,8,as is shone by the report of the comico nares to inquirer into the stat ove the municipal corporations in at 1035,5432.31636428833
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,8,as is shone by the report of the comico nares to inquirer into the stat of the municipal corporations in at 1030 fie,5432.308027267456
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,8,as is shone by the report of the comico nears to inquirer into the stat of the municipal corporations in at teen 35,5432.133924484253
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,7,as is shone by the report of the comico nears to inquirer into the stat of the municipal corporations in atten 35,5432.07546043396
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,9,as is shone by the report of the comico nares to inquirer into the stat ove the municipal corporations in at 1030 fie,5432.0192222595215
