id,talk_id,speaker_id,reference,hypothesis,wer
<F0_M>,AlGore_2009,Al_Gore,in the himalayas the 3rd largest mass of ice at the top you see new lakes which a few years ago were glaciers 40% of all the people in the world get half of their drinking water from that melting flow in the andes this glacier is the source of drinking water for this city,in the himalayas the 3rd largest mass of is at the top you see lakes which a few years ago were glaciers 40% of all the people in the world get half of their drinking water from that melting flow and the andes this glacier is the sort of drinking water for this site,0.01838235294117647
<F0_M>,AlGore_2009,Al_Gore,the flows have increased but when they go away so does much of the drinking water in california there has been a 40% decline in the sierra snowpack this is hitting the reservoirs and the predictions as you have read are serious this drying around the world has lead to a dramatic increase in fires,the floors have increased but when they go away so as much of the drinking water and california there has been 40% decline on the seer of snow pack this is hiding the reserve wars and the predictions as you read are serious this ring around the world has led to a dramatic increase in firs,0.05387205387205387
<F0_M>,AlGore_2009,Al_Gore,and the disasters around the world have been increasing at an absolutely extraordinary and unprecedented rate 4 times as many in the last 30 years as in the previous 75 this is a completely unsustainable pattern if you look at in the context of history you can see,and the disasters around the world have been increasing at an absolutely extraordinary and on president rat 4 times as many in the last 30 years as in the previous 75 this is a completely unsustainable pater if you look at it in the context of history you can see,0.01893939393939394
<F0_M>,AlGore_2009,Al_Gore,what this is doing,what is his doing,0.1111111111111111
<F0_M>,AlGore_2009,Al_Gore,in the last 5 years we have added 70000000 tons of co 2 every 24 hours 25000000 tons every day to the oceans,in the last 5 years we have added 7000000 tons of seoul to every 24 or 25000000 tons every day to the oceans,0.037037037037037035
<F0_M>,AlGore_2009,Al_Gore,look carefully at the area of the eastern pacific from the americas extending westward and on either side of the indian subcontinent where there is a radical depletion of oxygen in the oceans,look carefully at the ear of the eastern pacific from the americas extending westward and on either side of the indian sub continent where there is a radical depletion of action in the oceans,0.020942408376963352
<F0_M>,AlGore_2009,Al_Gore,the biggest single cause of global warming along with deforestation which is 20% of it is the burning of fossil fuels oil is a problem,the big single case of global worming along with deforestation which is 20 person it is the burning of fossil files oil is a problem,0.04477611940298507
<F0_M>,AlGore_2009,Al_Gore,and coal is the most serious problem the united states is one of the 2 largest emitters along with china and the proposal has been to build a lot more coal plants but we are beginning to see a sea change here are the ones that have been canceled in the last few years with some green alternatives proposed,and coal is the most serious problem the united states is one of the 2 largest matters along with china and the proposal has been to build a lot more coal plants but were beginning to see a sea change her the ones that had been canceled in the last few years with some green alternatives to propose,0.02622950819672131
<F0_M>,AlGore_2009,Al_Gore,however there is a political battle in our country and the coal industries and the oil industries spent a quarter of a $1000000000 in the last calendar year promoting clean coal which is an oxymoron that image reminded me of something,however there is a political battle and are country and the coal industry and the oil industry spent a core of a $1000000000 in the last calendar year promoting clean coal which is an more n that image reminded me of something,0.029914529914529916
<F0_M>,AlGore_2009,Al_Gore,around christmas in my home in tennessee a 1000000000 gallons of coal sludge was spilled you probably saw it on the news this all over the country is the 2nd largest waste stream in america this happened around christmas one of the coal industry is ads around christmas was this one,around crismus an my home intends a 1000000000 gallons of cold sludge was spilled he probably saw it on the news this all over the country as the 2nd largest waves stream and america this happened around crismus one of the cold industry is ads around crismus was thin,0.04964539007092199
<F0_M>,AlGore_2009,Al_Gore,this is the source of much of the coal in west virginia the largest mountaintop miner is the head of massey coal,this is the source of much of the cold and western the largest amount miner is the head of may,0.0625
<F0_M>,AlGore_2009,S13,let me be clear about it al gore nancy pelosi harry reid they do not know what they are talking about,let me be clear about go harsh nancy palsy harry read the note now what to take about,0.1188118811881188
<F0_M>,AlGore_2009,Al_Gore,so the alliance for climate protection has launched 2 campaigns this is one of them part of one of them,so the allies for climate protection has longed to campaigns this is so one of them part of one of them,0.038834951456310676
<F0_M>,AlGore_2009,S45,coalergy we view climate change as a very serious threat to our business that is why we have made it our primary goal to spend a large sum of money on an advertising effort to help bring out and complicate the truth about coal,large weave climate change as a very serious threat to are bisness that is why we made it a primary gold to spend a large sum of money on an advertising evert to help bring out and complicate the truth about gold,0.04424778761061947
<F0_M>,AlGore_2009,S45,the fact is coal is not dirty we think it is clean,the fact is old is not dirty we think is clean,0.04
<F0_M>,AlGore_2009,S45,smells good too,astrid,0.2
<F0_M>,AlGore_2009,S45,so do not worry about climate change leave that up to us,so do not worry about it change leave that up to one,0.03571428571428571
<F0_M>,AlGore_2009,S50,clean coal you have heard a lot about it so let us take a tour of this state of the art clean coal facility,no we heard a lot about it so let us take a turn the sad heart clearly,0.12149532710280374
<F0_M>,AlGore_2009,S50,amazing the machinery is kind of loud but that is the sound of clean coal technology,an say mister is that aloud with that the sound to lame called analogy,0.14285714285714285
<F0_M>,AlGore_2009,S50,and while burning coal is one of the leading causes of global warming the remarkable clean coal technology you see here changes everything,while learning call is one of the leading causes of club warming the remarkable cleanly set er change as ivery thing,0.08695652173913043
<F0_M>,AlGore_2009,S50,take a good long look this is today is clean coal technology,you go long ere this is today can call tackling,0.13333333333333333
<F0_M>,AlGore_2009,Al_Gore,finally the positive alternative meshes with our economic challenge and our national security challenge,finally the positive alternative mesas with are economic change and a national security challenge,0.038834951456310676
<F0_M>,AlGore_2009,S54,america is in crisis the economy national security the climate crisis,america is in crises the economy national security the time of crisis,0.043478260869565216
<F0_M>,AlGore_2009,S54,the thread that links them all our addiction to carbon based fuels like dirty coal and foreign oil,the threads against them a war edition carbon based no dirty come like for an all,0.14285714285714285
<F0_M>,AlGore_2009,S54,but now there is a bold new solution to get us out of this mess repower america,but now there is a new section to get us out of this as we poor america,0.06329113924050633
<F0_M>,AlGore_2009,S54,with 100% clean electricity within 10 years a plan to put america back to work make us more secure and help stop global warming,with 100 present clean electricity within 10 years a plan to put america back to work and make us more secure and help stop,0.03937007874015748
<F0_M>,AlGore_2009,S54,finally a solution that is big enough to solve our problems repower america find out more,finally the solution is big enuff to save as power america find out more,0.07865168539325842
<F0_M>,AlGore_2009,Al_Gore,this is the last one,this is the last one,0.0
<F0_M>,AlGore_2009,S58,it is about repowering america one of the fastest ways to cut our dependence on old dirty fuels that are killing our planet,about re powering america are the fastest was to cut a dependence on old dry fools cling a plant,0.12195121951219512
<F0_M>,AlGore_2009,S58,future is over here wind sun a new energy grid,furs over her when sun nor great,0.17391304347826086
<F0_M>,AlGore_2009,S58,new investments to create high paying jobs,investments to grate his pan goss,0.11904761904761904
<F0_M>,AlGore_2009,S58,repower america it is time to get real,power america has time to get real,0.07894736842105263
<F0_M>,AlGore_2009,Al_Gore,there is an old african proverb that says if you want to go quickly go alone if you want to go far go together we need to go far quickly,there is an old african proverb that says if you want go quickly go alone if you will not go far go together we need to go far quickly,0.022058823529411766
<F0_M>,AlGore_2009,Al_Gore,thank you very much,thank you very much,0.0
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,i am going to talk to you about some stuff that is in this book of mine that i hope will resonate with other things you have already heard and i will try to,i will not take you about some stuff that in this book of mine that i hope will resonant with other things that you have already heard and all trade,0.07692307692307693
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,make some connections myself in case you miss them i want to start with what i call the official dogma,make some connections myself in case i do miss them but i want a start with what i call the official dogma,0.0392156862745098
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,the official dogma of what the official dogma of all western industrial societies and the official dogma runs like this if we are interested in maximizing the welfare of our citizens,the final dogma of what the official dogma of all western industrial sisters and the official dogma runs like this if we are interested in mac surmising the welfare of our sins,0.027472527472527472
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,the way to do that is to maximize individual freedom the reason for this is both that freedom is in and of itself good,the way to do that is to maimie individual freedom the reason for this is both that freedom is in an of itself good,0.01694915254237288
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,valuable worthwhile essential to being human and because if people have freedom then each of us can act on our own to do the things that will maximize our welfare and no one has to decide on our behalf,valuable worth while essential to being human and because if people have freedom then each of us can act on around to do the things that will maxims are well fer no one has to desire on our behalf,0.04477611940298507
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,the way to maximize freedom is to maximize choice the more choice people have the more freedom they have and the more freedom they have the more welfare they have,the way to maimie freedom is to maimie chose the more his people have the more freedom they have and the more freedom they have the more welfare they have,0.024691358024691357
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,this i think is so deeply embedded in the water supply that it would not occur to anyone to question it and it is also deeply embedded in our lives,this i think is so deeply embedded in the water supply that it would not ear to any one to question it and is also deeply embedded in our lives,0.027210884353741496
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,i will give you some examples of what modern progress has made possible for us this is my supermarket not such a big one,i give you some examples of what modern progress has made possible for us this is my super market not such a big one,0.025
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,i want to say just a word about salad dressing a 175 salad dressings in my supermarket if you do not count,what say you just a word about salad dressing a 175 salad dressings in my sober marcia if you do not count,0.05660377358490566
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,the 10 extra virgin olive oils and 12 balsamic vinegars you could buy to make a very large number of your own salad dressings in the off chance that none of the 175 the store has on offer suit you,the 10 extra virginal oils and 12 balsamic fingers you could by to make a very large number of your own salad dressings in the off chance that none of the 175 the store has one offered you,0.03571428571428571
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,so this is what the supermarket is like and then you go to the consumer electronics store to set up a stereo system speakers cd player tape player tuner amplifier and in this one,so this is what the supermarket was like and then you go to the consumer electronics stores set up astro istam speakers see player take player toner amplifier and in this one,0.05056179775280899
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,single consumer electronics store there are that many stereo systems we can construct 6500000,single consumer electronics store there are that many stereos pistols we can construct 6500000,0.021505376344086023
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,different stereo systems out of the components that are on offer in one store you have got to admit that is a lot of choice in other domains the world of communications,different strows stamps at the components that are an offer in one store he gat admit that a lad of choice in other domains the world over a comin captions,0.08928571428571429
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,there was a time when i was a boy when you could get any kind of telephone service you wanted as long as it came from ma bell you rented your phone you did not buy it one consequence of that by the way is that the phone never broke and,there was a time when i was a boy when you could get any kind of talon serves you wanted as long as it came from mabel who rented your fond you didnt by it one consequence of that by the way is that the one never broke and me,0.04680851063829787
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,those days are gone we now have an almost unlimited variety of phones especially in the world of cell phones these are cell phones of the future,those days are gone we know have an almost unlimited variety of fons especially in the world of self ones these are self ones of the future,0.041666666666666664
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,my favorite is the middle one the mp 3 player nose hair trimmer and creme brulee torch and if,my favorite is the middle and empty 3 player knows her tremor and trembly torch and if,0.08602150537634409
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,if by some chance you have not seen that in your store yet you can rest assured that one day soon you will and what this does is it leads people to walk into their stores asking this question,if by some chance you have not seen that in your story yet you can rest ashore that one day soon you will and what this das is it leads people to walk into their stores asking this question,0.015706806282722512
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,and do you know what the answer to this question now is the answer is no it is not possible to buy a cell phone that does not do too much so,and you know what the answer to this question now is the answer is no it is not possible to be a self on that sand do to much so,0.05
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,in other aspects of life that are much more significant than buying things the same explosion of choice is true health care it is no longer the case in the united states that you,in other aspects of life that are much more significant than the big things the same explosion of choice is true health care it is no longer the case in the united states that you,0.011235955056179775
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,go to the doctor and the doctor tells you what to do instead you go to the doctor and the doctor tells you well we could do a or we could do b a has these benefits,go to the doctor and the doctor tells you what to do instead you go to the doctor an the doctor tells you what we can do or we can do by a has these benefits,0.03680981595092025
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,and these risks b has these benefits and these risks what do you want to do and you say doc what should i do and the doc says,and these risks be has these benefits and these risks what he wanted and you say take what should i do in the dark seas,0.08
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,a has these benefits and risks and b has these benefits and risks what do you want to do and you say if you were me doc what would you do and the doc says but i am not you,ay has these benefits and risks and be has these benefits of rises what you want and you say if you were me duck what would you do and the dark seas but am not,0.07017543859649122
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,and the result is we call it patient autonomy which makes it sound like a good thing but what it really is is a shifting of the burden and the responsibility for decision making from somebody who knows something namely the doctor to somebody who knows nothing and is almost certainly sick and thus not in the best shape to be making decisions namely the patient there is enormous marketing of prescription drugs,and the result is we call it paint litany which makes it sound like a good thing but what it really is is a shifting of the burden and the responsibility for decision making from somebody who knows something namely the daughter to somebody who knows nothing and has almost certainly sick and thus not in the best shape to be making decisions namely the patient theirs norm is marketing of prescription drugs,0.0170316301703163
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,to people like you and me which if you think about it makes no sense at all since we can not buy them why do they market to us if we can not buy them the answer is that they expect us to call our doctors the next morning and ask our prescriptions to be changed,to people like you and me which if you think about it makes no sense at all since we can not by them why do they mark it to us if we can by them the answer is that they expect us to call are doctors the next morning and ask for or prescriptions to be changed,0.03076923076923077
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,something as dramatic as our identity has now become a matter of choice as this slide,something as dramatic as our identity is now become a matter of choice as the slide,0.023529411764705882
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,is meant to indicate we get to we do not inherit an identity we get to invent it and we get to re invent ourselves as often as we like and that means that every day when you wake up in the morning you have to decide what kind of person,is man to indicate we get to we do not inherit an identity we get to invent it and we get to re invent or selves as often as we like and that means it every day when you wake up in the morning you have to decide what kind of person,0.01702127659574468
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,you want to be in with respect to marriage and family,you want a minute with respect to marriage and family,0.05660377358490566
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,there was a time when the default assumption that almost everyone had is that you got married as soon as you could and then you started having kids as soon as you could the only real choice was who,there was a time when the duffle desmond that almost every one had is that you got married as soon as you could and then you started having kids as soon as you could the only real choice was how,0.025380710659898477
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,not when and not what you did after nowadays everything is very much up for grabs i teach wonderfully intelligent students,not when and not what you did after nowadays everything is very much up for grabs i teach wonderfully intelligent students,0.0
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,and i assign 20% less work than i used to and it is not because they are less smart and it is not because they are less diligent it is because they are preoccupied,and i a sine 20% less work than us too and it is not because their less smart and is not because their less diligent it is because they are preoccupied,0.06134969325153374
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,asking themselves should i get married or not should i get married now should i get married later should i have kids 1st or a career 1st,asking themselves should i get married or not should i get married now should i get mary later should have his 1st or a career 1st,0.022058823529411766
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,all of these are consuming questions and they are going to answer these questions whether or not it means not doing all the work i assign and not getting a good grade in my courses and indeed they should these are important questions to answer,all of these are consuming questions and their answer these questions whether or not it means not doing all the work i have sin and not getting a good grave in my courses and indeed they should them portion questions to answer,0.0411522633744856
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,work,work,0.0
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,we are blessed as carl was pointing out with the technology that enables us to work every minute of every day from any place on the planet except the randolph hotel,we are blessed as carl was pointing out with a technology that enables us to work every minute of every day from any place on the planet except the rand of hotel,0.018292682926829267
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,there is one corner by the way that i am not going to tell anybody about where you actually where the where the hi wifi works i am not telling you about it because i want to use it,there is one corner by the way the damage i tell anybody about where you actually were they were the high wife works in telling about because i want to sit,0.1
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,so what this means this incredible freedom of choice we have with respect to work is that we have to make a decision again and again and again about whether,so what this means this incredible freedom of choice we have with respect to work is that we have to make a decision again and again and again about whether,0.0
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,we should or should not be working we can go to watch our kid play soccer and we have our cell phone on one hip and our blackberry on our other hip and our laptop presumably on our laps and even if they are all shut off,we should or should not be working we can go to watch our child play softer and we have are self one on one hip and a black bear on or other hip and a slap tap presumably on or laps and even if there all shut off,0.0684931506849315
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,every minute that we are watching our kid mutilate a soccer game we are also asking ourselves should i answer this,every minute that were watching arid mullet for game we are also asking ourselves should i answer this,0.06140350877192982
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,cell phone call should i respond to this email should i draft this letter and even if the answer to the question is no it is certainly going to make the experience of your kid is soccer game very different than it would have been,slone all should respond to this emile should i draft this letter and even if the answer to the question is now is surely going to make the experience of our kids sar game very different than it would have been,0.05240174672489083
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,so everywhere we look big things and small things material things and lifestyle things life is a matter of choice and the world we used to live in looked like this,so every where we look big things and small things material things and life still things life is a matter of choice and the world we just live in look like this,0.04294478527607362
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,that is to say there were some choices but not everything was a matter of choice and the world we now live in looks like this and the question is,that is to say there were some horses but not everything was a matter of choice and the world we now live in looks like this and the question is,0.006896551724137931
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,is this good news or bad news and the answer is yes,is this good news or bad news and the answer is yes,0.0
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,we all know what is good about it so i am going to talk about what is bad about it all of this choice has 2 effects 2 negative effects on people,we all know what is good about it so ime goin take about what bad about it all of this choice has to affects to negative effect on people,0.06944444444444445
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,one effect paradoxically is that it produces paralysis rather than liberation with so many options to choose from people find it very difficult to choose at all,one affect paradoxically is that it produces paralysis rather than liberation with so many sins to choose from people find it very difficult to choose at all,0.0125
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,i will give you one very dramatic example of this a study that was done of investments in voluntary retirement plans a colleague of mine got access to,i give you one very dramatic example of this study that was done over investments in the voluntary retirement plans calling of mine got access to,0.04
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,investment records from vanguard the gigantic mutual fund company of about a 1000000 employees and about 2000 different workplaces and what she found is that,investment records from vanguard the gigantic mutual found company of about a 1000000 employees and about 2000 different work places and what she found is that,0.01910828025477707
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,for every 10 mutual funds the employer offered rate of participation went down 2%,for every 10 mutual funds the employer offered rat of participation went down to present,0.037037037037037035
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,you offer 50 funds 10% fewer employees participate than if you only offer 5 why because with 50 funds to choose from it is so damn hard to decide which fund to choose that you will just put it off until tomorrow and then tomorrow and then tomorrow and tomorrow and tomorrow and of course tomorrow never comes,you offer 50 funds 10% for employers participate that if you only offer 5 why because with 50 funds to choose from it so damp hard to desire which found to choose that you just put it off till tomorrow and then tomorrow and then tomorrow and tomorrow and tomorrow and of course tomorrow never comes,0.02922077922077922
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,understand that not only does this mean that people are going to have to eat dog food when they retire because they do not have enough money put away it also means that making the decision is so hard that they pass up significant matching money from the employer,understand that not only does this mean that people can have the dog food when they retire because he do not have no money put away it also means that making the decision so hard that they pass up significant matching money from the employer,0.030534351145038167
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,by not participating they are passing up as much as $5000 a year from the employer who would happily match their contribution so paralysis is a consequence of having too many choices and i think it makes the world look like this,by not participating they are passing up as much as $5000 a year from the employer who would happily match their contribution so paralysis is a consequence of having too many horses and i think it makes the world look like this,0.0043859649122807015
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,you really want to get the decision right if it is for all eternity right you do not want to pick the wrong mutual fund or even the wrong salad dressing,you really want to get the decision right if it is for all eternity and you do not want to pick the mutual fund or even the wrong salaries,0.02631578947368421
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,so that is one effect the 2nd effect is that even if we manage to overcome the paralysis and make a choice,so that one effect the 2nd affect is that even if we manage to overcome the paralysis and make a choice,0.018867924528301886
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,we end up less satisfied with the result of the choice than we would be if we had fewer options to choose from and there are several reasons for this,we end up less satisfied with the result of the choice than we would be if we had for options to chuse for another several reasons for this,0.040268456375838924
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,one of them is that with a lot of different salad dressings to choose from if you buy one and it is not perfect and you know what salad dressing is it is easy to imagine that you could have made a different choice that would have been better,one of them is that with a lot of different salad dressings to choose from if you by wan and it is not perfect and in what laden is it easy to amain that you could have made a different choice that would a been better,0.03734439834024896
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,and what happens is this imagined alternative induces you to regret the decision you made and this regret subtracts from the satisfaction you get out of the decision you made even if it was a good decision,and what happens is this imagined alternative induces you to regret the decision made and this regret subtracts from the satisfaction you get out of the decision made even if it was a good design,0.014634146341463415
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,the more options there are the easier it is to regret anything at all that is disappointing about the option that you chose,the more things there are the easier it is to regret any thing at all that is disappointing about the option that you chose,0.024390243902439025
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,2nd what economists call opportunity costs dan gilbert made a big point this morning of talking about how how much the the way in which we value things depends on what we compare them to,2nd what economist all pertinent cases and gilbert made a big point this morning of tacking about how how much the the way in which we value things depend on what we compare them to,0.03763440860215054
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,well when there are lots of alternatives to consider it is easy to imagine the attractive features of alternatives that you reject,well whether late of alternatives to consider it is easy to imagine the attractive features of alternatives that you reject,0.03076923076923077
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,that make you less satisfied with the alternative that you have chosen here is an example,at that make it you less satisfied with the alternative that you have chosen hers an example,0.0449438202247191
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,for those of you who are not new yorkers i apologize,for those of your horn yorkers pledges,0.1346153846153846
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,but here is what you are supposed to be thinking here is this couple on the hamptons very expensive real estate gorgeous beach beautiful day they have it all to themselves what could be better well damn it this guy is thinking it is august,but hers had your supposed to be thinking hers his cup on the hamptons very expensive real stay gorgias beach butiful day they have it all to themselves what could be better well dam at the sky as thinking it august,0.07531380753138076
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,everybody in my manhattan neighborhood is away i could be parking right in front of my building,every body in mid manhattan aber hold is a way i could be parking right in front of my building,0.07368421052631578
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,and he spends 2 weeks nagged by the idea that he is missing the opportunity day after day to have a great parking space,and he spends 2 weeks nagged by the idea that he is missing the opportunity day after day to have a great barking,0.01680672268907563
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,opportunity costs subtract from the satisfaction we get out of what we choose even when what we choose is terrific and the more options there are to consider,opportunity cases subtract from the satisfaction we get out of what we chose even when what we choose is terrific and the more things there are to consider,0.01910828025477707
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,the more attractive features of these options are going to be reflected by us as opportunity costs here is another example,the more attractive features of these actions are going to be reflected by us as opportunity costs hers another example,0.02459016393442623
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,now now this cartoon makes a lot of points it makes points about living in the moment as well and probably about doing things slowly but one point it makes is that whenever you are choosing one thing you are,now now the this cartoon make a lot of points at max points about living in the moment as well and probably about doing things slowly but on the point i make is that whenever your chusing one finger,0.06763285024154589
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,choosing not to do other things and those other things may have lots of attractive features and it is going to make what you are doing less attractive 3rd,choosing not to do other things and those other things may have lots of attractive features an is goin to make what you doing less attractive 3rd,0.025974025974025976
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,escalation of expectations this hit me when i went to replace my jeans i wear jeans almost all the time and there was a time when jeans came in one flavor,elation of expectations this hit me when i went to replace my gens were gems almost all the time and there was a time when denis came in one flavor,0.03896103896103896
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,and you bought them and they fit like crap and they were incredibly uncomfortable and if you wore them long enough and washed them enough times they started to feel feel ok so i went to replace my jeans after years and years of wearing these old ones and i said i,and you bought em an they fit like crape and they were incredibly uncontrolled and if you wore them long enough and wash them no times he started to fit floy so i went to replace my gens after years and years of wearing these old ones and i said i,0.04182509505703422
<F0_M>,BarrySchwartz_2005G,Barry_Schwartz,you know i want a pair of jeans here is my size and the shopkeeper said do you want slim fit easy fit relaxed fit you want button fly or zipper fly you want stonewashed or acid washed do you want them distressed you want boot cut you want tapered blah blah blah on and on he went my jaw dropped and after i recovered i said i want the kind that used to be the only kind,you go to paris hers my sins on the shop keeper said do you want slim fit easy fit relaxed fit you want but one fly or simper fly and stone washer and wash you want i distressed you and blue cut you want tapered blubb an an went my gay dropt and after i recovered i said i want the kind that must be the only kind,0.1002710027100271
